Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance,Variance %
2023-08-16 00:00:00,Marketing,Infrastructure,Central,126293,82140,UPI,TXN100025,-44153,-34.96
2022-11-18 00:00:00,Sales,Marketing,North,103948,76187,Card,TXN100026,-27761,-26.71
2023-08-16 00:00:00,Finance,Training,North,46166,24308,Bank Transfer,TXN100027,-21858,-47.35
2022-07-17 00:00:00,Sales,Marketing,North,129239,163833,Card,TXN100028,34594,26.77
2023-04-12 00:00:00,Sales,Training,North,144078,83304,Bank Transfer,TXN100029,-60774,-42.18
2022-10-09 00:00:00,HR,Salaries,North,142076,142230,Card,TXN100030,154,0.11
2021-01-21 00:00:00,Operations,Salaries,North,147039,162847,Bank Transfer,TXN100031,15808,10.75
2023-04-21 00:00:00,Operations,Infrastructure,North,28879,154557,Card,TXN100032,125678,435.19
2021-06-16 00:00:00,Operations,Training,North,12261,123857,Cash,TXN100033,111596,910.17
2022-01-23 00:00:00,IT,Marketing,North,42323,118946,Cash,TXN100034,76623,181.04
2022-08-24 00:00:00,HR,Salaries,East,45864,130300,Bank Transfer,TXN100035,84436,184.10
2021-11-12 00:00:00,Marketing,Marketing,North,17927,121002,UPI,TXN100036,103075,574.97
2021-01-14 00:00:00,Marketing,Infrastructure,West,92256,104791,UPI,TXN100037,12535,13.59
2021-08-30 00:00:00,Marketing,Training,North,94903,29787,UPI,TXN100038,-65116,-68.61
2023-02-16 00:00:00,Operations,Marketing,Central,131686,136324,Bank Transfer,TXN100039,4638,3.52
2022-07-19 00:00:00,Operations,Utilities,Central,64150,56793,Cash,TXN100040,-7357,-11.47
2023-06-17 00:00:00,HR,Marketing,North,117167,15153,Bank Transfer,TXN100041,-102014,-87.07
2021-04-02 00:00:00,Sales,Travel,North,23056,63766,Card,TXN100042,40710,176.57
2023-08-14 00:00:00,Operations,Travel,Central,20798,13931,Card,TXN100043,-6867,-33.02
2022-05-24 00:00:00,Marketing,Infrastructure,West,116491,35040,Card,TXN100044,-81451,-69.92
2023-02-15 00:00:00,Sales,Infrastructure,South,61747,122329,Card,TXN100045,60582,98.11
2021-02-04 00:00:00,Operations,Infrastructure,East,45738,156344,Card,TXN100046,110606,241.83
2021-07-25 00:00:00,Finance,Utilities,Central,27227,138197,Card,TXN100047,110970,407.57
2023-10-23 00:00:00,IT,Training,North,93800,73939,UPI,TXN100048,-19861,-21.17
2023-10-19 00:00:00,Operations,Utilities,East,136531,20801,UPI,TXN100049,-115730,-84.76
2022-07-20 00:00:00,Finance,Marketing,North,69461,114280,Card,TXN100050,44819,64.52
2022-12-04 00:00:00,HR,Salaries,South,67848,35064,Bank Transfer,TXN100051,-32784,-48.32
2022-02-06 00:00:00,Finance,Training,South,34685,11985,Cash,TXN100052,-22700,-65.45
2022-12-31 00:00:00,HR,Travel,Central,101517,89796,Card,TXN100053,-11721,-11.55
2021-06-11 00:00:00,Operations,Travel,East,129180,166687,Card,TXN100054,37507,29.03
2021-07-21 00:00:00,HR,Travel,East,13480,67466,Bank Transfer,TXN100055,53986,400.49
2023-09-23 00:00:00,Finance,Marketing,South,25860,132052,UPI,TXN100056,106192,410.64
2021-09-27 00:00:00,IT,Marketing,North,78578,14549,Bank Transfer,TXN100057,-64029,-81.48
2023-03-27 00:00:00,Sales,Infrastructure,Central,67230,78664,Cash,TXN100058,11434,17.01
2022-04-01 00:00:00,Sales,Salaries,West,67026,20801,Cash,TXN100059,-46225,-68.97
2023-10-14 00:00:00,IT,Infrastructure,South,16564,121901,Bank Transfer,TXN100060,105337,635.94
2021-10-23 00:00:00,Marketing,Marketing,South,30012,59380,Card,TXN100061,29368,97.85
2022-12-21 00:00:00,Sales,Utilities,Central,64169,56442,UPI,TXN100062,-7727,-12.04
2021-12-04 00:00:00,Operations,Infrastructure,North,36341,18505,Card,TXN100063,-17836,-49.08
2023-05-29 00:00:00,Marketing,Training,East,56841,85906,Card,TXN100064,29065,51.13
2023-12-13 00:00:00,Operations,Marketing,South,102584,67228,Card,TXN100065,-35356,-34.47
2023-03-03 00:00:00,Finance,Marketing,Central,53335,88129,Card,TXN100066,34794,65.24
2021-08-05 00:00:00,Finance,Utilities,Central,65155,99695,UPI,TXN100067,34540,53.01
2023-02-03 00:00:00,Marketing,Utilities,Central,108314,71275,Bank Transfer,TXN100068,-37039,-34.20
2021-07-07 00:00:00,Marketing,Utilities,East,39527,37621,Cash,TXN100069,-1906,-4.82
2022-01-15 00:00:00,Marketing,Salaries,South,105466,27538,Cash,TXN100070,-77928,-73.89
2022-05-08 00:00:00,Marketing,Training,Central,60653,77024,UPI,TXN100071,16371,26.99
2023-12-01 00:00:00,HR,Marketing,East,111907,23332,Bank Transfer,TXN100072,-88575,-79.15
2021-01-15 00:00:00,Marketing,Utilities,North,43057,158234,UPI,TXN100073,115177,267.50
2021-03-06 00:00:00,Marketing,Salaries,West,113992,32594,Card,TXN100074,-81398,-71.41
2022-06-05 00:00:00,Finance,Travel,South,17393,19793,UPI,TXN100075,2400,13.80
2022-10-10 00:00:00,Operations,Training,East,85404,28850,Bank Transfer,TXN100076,-56554,-66.22
2023-12-23 00:00:00,Finance,Travel,West,101956,68438,Cash,TXN100077,-33518,-32.87
2022-08-16 00:00:00,Sales,Travel,West,94613,31936,UPI,TXN100078,-62677,-66.25
2022-01-27 00:00:00,HR,Marketing,East,69171,120442,Cash,TXN100079,51271,74.12
2022-02-23 00:00:00,HR,Salaries,East,39336,11827,Cash,TXN100080,-27509,-69.93
2021-10-16 00:00:00,Operations,Salaries,East,22014,66889,Cash,TXN100081,44875,203.85
2022-01-14 00:00:00,Marketing,Travel,Central,149446,133306,Bank Transfer,TXN100082,-16140,-10.80
2021-08-19 00:00:00,Finance,Training,North,101513,54790,Card,TXN100083,-46723,-46.03
2023-10-15 00:00:00,Sales,Infrastructure,Central,146656,74352,Card,TXN100084,-72304,-49.30
2021-02-10 00:00:00,Finance,Travel,West,94769,68215,Bank Transfer,TXN100085,-26554,-28.02
2023-11-18 00:00:00,Marketing,Marketing,West,136092,161382,Card,TXN100086,25290,18.58
2021-05-15 00:00:00,Marketing,Travel,West,38782,66207,Card,TXN100087,27425,70.72
2021-07-20 00:00:00,IT,Training,East,120463,69643,Card,TXN100088,-50820,-42.19
2023-02-19 00:00:00,Finance,Training,South,95847,85319,UPI,TXN100089,-10528,-10.98
2023-07-19 00:00:00,Operations,Travel,Central,98434,81095,Card,TXN100090,-17339,-17.61
2023-11-23 00:00:00,Finance,Salaries,South,70773,126060,UPI,TXN100091,55287,78.12
2023-12-08 00:00:00,HR,Travel,North,24110,50890,Cash,TXN100092,26780,111.07
2022-05-18 00:00:00,Sales,Utilities,North,98512,103736,UPI,TXN100093,5224,5.30
2022-02-11 00:00:00,Operations,Utilities,Central,15825,146080,Card,TXN100094,130255,823.10
2023-03-16 00:00:00,IT,Infrastructure,West,144560,67544,Bank Transfer,TXN100095,-77016,-53.28
2021-04-09 00:00:00,Sales,Marketing,North,77431,118930,Cash,TXN100096,41499,53.59
2022-11-15 00:00:00,Sales,Marketing,South,78444,162348,Cash,TXN100097,83904,106.96
2022-12-27 00:00:00,HR,Salaries,South,76947,118079,UPI,TXN100098,41132,53.45
2023-08-19 00:00:00,HR,Marketing,East,146529,132412,Bank Transfer,TXN100099,-14117,-9.63
2022-09-05 00:00:00,HR,Infrastructure,West,48216,61044,Card,TXN100100,12828,26.61
2022-10-05 00:00:00,Operations,Utilities,East,103230,27184,UPI,TXN100101,-76046,-73.67
2023-10-26 00:00:00,Finance,Salaries,Central,18847,29633,UPI,TXN100102,10786,57.23
2022-05-18 00:00:00,Sales,Training,North,24658,33368,Cash,TXN100103,8710,35.32
2023-02-06 00:00:00,Finance,Utilities,East,136878,35045,UPI,TXN100104,-101833,-74.40
2022-02-02 00:00:00,Finance,Infrastructure,East,39676,77919,Bank Transfer,TXN100105,38243,96.39
2023-05-21 00:00:00,HR,Salaries,Central,10645,117390,UPI,TXN100106,106745,1002.77
2023-03-06 00:00:00,Finance,Travel,South,107476,99881,UPI,TXN100107,-7595,-7.07
2022-01-28 00:00:00,Sales,Marketing,South,88236,69261,Bank Transfer,TXN100108,-18975,-21.50
2021-07-26 00:00:00,Sales,Infrastructure,Central,28618,63464,UPI,TXN100109,34846,121.76
2023-11-05 00:00:00,Marketing,Salaries,South,71859,109454,Card,TXN100110,37595,52.32
2023-06-11 00:00:00,IT,Utilities,Central,68827,135046,UPI,TXN100111,66219,96.21
2023-05-14 00:00:00,Operations,Salaries,South,107389,159814,Card,TXN100112,52425,48.82
2023-01-13 00:00:00,Finance,Travel,Central,135114,162322,Bank Transfer,TXN100113,27208,20.14
2022-07-18 00:00:00,Operations,Infrastructure,South,106726,141649,Card,TXN100114,34923,32.72
2023-10-18 00:00:00,Operations,Salaries,East,138077,143377,Bank Transfer,TXN100115,5300,3.84
2021-04-06 00:00:00,Operations,Training,East,143034,61202,Card,TXN100116,-81832,-57.21
2022-04-30 00:00:00,Marketing,Infrastructure,South,138373,100276,Card,TXN100117,-38097,-27.53
2021-08-19 00:00:00,Operations,Infrastructure,Central,136076,154023,Bank Transfer,TXN100118,17947,13.19
2023-01-19 00:00:00,Marketing,Utilities,East,72397,158604,Bank Transfer,TXN100119,86207,119.08
2022-06-25 00:00:00,Sales,Marketing,North,79951,86138,Card,TXN100120,6187,7.74
2023-11-26 00:00:00,Finance,Training,South,65770,96074,Bank Transfer,TXN100121,30304,46.08
2022-06-09 00:00:00,Marketing,Travel,North,41545,48828,Cash,TXN100122,7283,17.53
2022-08-01 00:00:00,IT,Salaries,North,18705,26330,UPI,TXN100123,7625,40.76
2022-11-13 00:00:00,Operations,Marketing,West,20704,152314,Card,TXN100124,131610,635.67
2022-07-11 00:00:00,IT,Utilities,North,38671,42340,Cash,TXN100125,3669,9.49
2023-10-10 00:00:00,Sales,Marketing,North,31203,102468,Cash,TXN100126,71265,228.39
2022-10-08 00:00:00,Sales,Infrastructure,West,91927,68989,Cash,TXN100127,-22938,-24.95
2023-03-07 00:00:00,HR,Infrastructure,West,130503,21823,Bank Transfer,TXN100128,-108680,-83.28
2023-11-18 00:00:00,Operations,Travel,West,102115,90119,UPI,TXN100129,-11996,-11.75
2021-07-09 00:00:00,HR,Training,Central,22451,125065,Card,TXN100130,102614,457.06
2022-09-25 00:00:00,IT,Salaries,West,121372,77604,UPI,TXN100131,-43768,-36.06
2022-09-20 00:00:00,Finance,Salaries,Central,130102,16281,Card,TXN100132,-113821,-87.49
2023-08-31 00:00:00,HR,Utilities,South,106613,79734,UPI,TXN100133,-26879,-25.21
2022-12-11 00:00:00,Sales,Travel,Central,85856,95951,UPI,TXN100134,10095,11.76
2022-10-11 00:00:00,Operations,Salaries,South,68642,49051,Cash,TXN100135,-19591,-28.54
2021-11-14 00:00:00,IT,Training,West,97656,100215,Bank Transfer,TXN100136,2559,2.62
2022-11-15 00:00:00,Marketing,Infrastructure,West,44612,138226,Card,TXN100137,93614,209.84
2022-10-26 00:00:00,Sales,Travel,South,128299,65283,Card,TXN100138,-63016,-49.12
2022-03-18 00:00:00,Marketing,Marketing,East,139848,67309,Card,TXN100139,-72539,-51.87
2022-07-18 00:00:00,Finance,Travel,Central,97606,151420,Cash,TXN100140,53814,55.13
2023-08-10 00:00:00,Operations,Travel,North,108983,71335,Cash,TXN100141,-37648,-34.54
2022-11-30 00:00:00,Finance,Training,West,17190,51124,Cash,TXN100142,33934,197.41
2021-04-23 00:00:00,Finance,Training,Central,39617,90509,Cash,TXN100143,50892,128.46
2021-01-02 00:00:00,Operations,Salaries,Central,119319,135211,Cash,TXN100144,15892,13.32
2022-10-04 00:00:00,Operations,Utilities,West,106931,132960,UPI,TXN100145,26029,24.34
2021-08-08 00:00:00,Marketing,Utilities,South,10009,93558,Card,TXN100146,83549,834.74
2023-05-05 00:00:00,Finance,Training,West,124291,60466,UPI,TXN100147,-63825,-51.35
2022-01-20 00:00:00,IT,Salaries,Central,90739,32459,Cash,TXN100148,-58280,-64.23
2023-12-13 00:00:00,Marketing,Salaries,East,63368,53076,Bank Transfer,TXN100149,-10292,-16.24
2022-12-31 00:00:00,Operations,Salaries,South,85914,18080,Cash,TXN100150,-67834,-78.96
2021-09-04 00:00:00,Sales,Training,West,58847,28168,Cash,TXN100151,-30679,-52.13
2023-04-16 00:00:00,Marketing,Utilities,North,85755,91097,Cash,TXN100152,5342,6.23
2021-07-22 00:00:00,HR,Salaries,West,105491,39892,Card,TXN100153,-65599,-62.18
2021-05-03 00:00:00,IT,Training,Central,108347,142037,Card,TXN100154,33690,31.09
2022-02-05 00:00:00,Marketing,Marketing,Central,50094,40438,Bank Transfer,TXN100155,-9656,-19.28
2023-02-06 00:00:00,Operations,Marketing,North,137791,147565,Card,TXN100156,9774,7.09
2021-10-21 00:00:00,Operations,Infrastructure,South,136489,111467,Cash,TXN100157,-25022,-18.33
2021-10-07 00:00:00,IT,Marketing,Central,103893,166963,Bank Transfer,TXN100158,63070,60.71
2023-06-03 00:00:00,HR,Travel,South,50544,48955,Bank Transfer,TXN100159,-1589,-3.14
2021-07-17 00:00:00,Marketing,Infrastructure,South,102398,119010,Bank Transfer,TXN100160,16612,16.22
2023-09-09 00:00:00,Marketing,Marketing,West,57660,155517,Cash,TXN100161,97857,169.71
2023-01-22 00:00:00,Finance,Travel,South,83736,41625,Card,TXN100162,-42111,-50.29
2021-05-24 00:00:00,Sales,Marketing,Central,81168,91260,UPI,TXN100163,10092,12.43
2022-09-01 00:00:00,Operations,Training,Central,44630,33393,Card,TXN100164,-11237,-25.18
2021-07-06 00:00:00,Marketing,Travel,East,14711,166755,UPI,TXN100165,152044,1033.54
2022-04-09 00:00:00,Marketing,Salaries,South,12457,29399,Cash,TXN100166,16942,136.00
2022-10-22 00:00:00,Marketing,Training,East,86732,159108,Card,TXN100167,72376,83.45
2023-02-03 00:00:00,HR,Travel,West,88375,125991,Cash,TXN100168,37616,42.56
2023-08-13 00:00:00,Sales,Training,East,49467,57941,Cash,TXN100169,8474,17.13
2022-02-07 00:00:00,Marketing,Salaries,South,17157,34656,Bank Transfer,TXN100170,17499,101.99
2021-05-27 00:00:00,IT,Travel,Central,120357,165689,Card,TXN100171,45332,37.66
2023-05-14 00:00:00,Operations,Travel,West,12714,108606,Bank Transfer,TXN100172,95892,754.22
2022-05-04 00:00:00,Finance,Training,South,37217,107377,Card,TXN100173,70160,188.52
2023-07-18 00:00:00,IT,Marketing,West,50132,116527,Cash,TXN100174,66395,132.44
2022-07-05 00:00:00,Operations,Travel,North,106653,39766,Bank Transfer,TXN100175,-66887,-62.71
2021-12-04 00:00:00,HR,Marketing,South,90792,81097,Cash,TXN100176,-9695,-10.68
2023-05-22 00:00:00,Sales,Travel,North,66371,138929,UPI,TXN100177,72558,109.32
2022-10-03 00:00:00,Sales,Utilities,East,66788,118864,Cash,TXN100178,52076,77.97
2022-04-18 00:00:00,Operations,Infrastructure,South,19583,157338,UPI,TXN100179,137755,703.44
2021-05-31 00:00:00,IT,Marketing,North,52042,143417,UPI,TXN100180,91375,175.58
2021-09-20 00:00:00,Finance,Marketing,Central,100405,156716,Bank Transfer,TXN100181,56311,56.08
2021-05-24 00:00:00,HR,Salaries,East,87807,80583,Bank Transfer,TXN100182,-7224,-8.23
2021-12-12 00:00:00,Operations,Utilities,South,78371,133061,Card,TXN100183,54690,69.78
2022-09-16 00:00:00,HR,Salaries,South,149085,115590,Card,TXN100184,-33495,-22.47
2023-10-14 00:00:00,Sales,Utilities,Central,88775,52889,Bank Transfer,TXN100185,-35886,-40.42
2023-05-31 00:00:00,Marketing,Utilities,Central,46973,158992,Card,TXN100186,112019,238.48
2021-01-02 00:00:00,Marketing,Training,North,77690,123990,Cash,TXN100187,46300,59.60
2023-06-16 00:00:00,Finance,Training,North,79459,77850,Cash,TXN100188,-1609,-2.02
2021-09-11 00:00:00,HR,Training,North,41558,116519,Cash,TXN100189,74961,180.38
2022-03-29 00:00:00,Operations,Travel,West,118350,11474,Cash,TXN100190,-106876,-90.31
2023-11-27 00:00:00,Finance,Salaries,East,50030,95768,Cash,TXN100191,45738,91.42
2023-10-12 00:00:00,IT,Infrastructure,South,46636,32039,UPI,TXN100192,-14597,-31.30
2021-01-09 00:00:00,Marketing,Utilities,East,119528,22104,Cash,TXN100193,-97424,-81.51
2023-03-27 00:00:00,Operations,Utilities,Central,73566,136404,Card,TXN100194,62838,85.42
2021-07-27 00:00:00,HR,Marketing,East,61159,25786,Bank Transfer,TXN100195,-35373,-57.84
2022-02-08 00:00:00,Finance,Travel,East,66025,54716,Bank Transfer,TXN100196,-11309,-17.13
2021-06-01 00:00:00,Operations,Infrastructure,North,119463,138738,Card,TXN100197,19275,16.13
2021-02-23 00:00:00,Finance,Training,Central,22434,130914,Card,TXN100198,108480,483.55
2022-09-20 00:00:00,Finance,Utilities,East,56096,59269,Card,TXN100199,3173,5.66
2022-08-10 00:00:00,Finance,Marketing,South,57471,161265,Bank Transfer,TXN100200,103794,180.60
2021-04-14 00:00:00,HR,Salaries,North,66004,95950,Card,TXN100201,29946,45.37
2021-09-11 00:00:00,Operations,Utilities,East,20487,24791,Card,TXN100202,4304,21.01
2022-05-25 00:00:00,Sales,Marketing,Central,85925,127363,UPI,TXN100203,41438,48.23
2021-04-09 00:00:00,Sales,Salaries,South,106925,86429,UPI,TXN100204,-20496,-19.17
2021-06-02 00:00:00,HR,Travel,Central,123500,111807,UPI,TXN100205,-11693,-9.47
2023-07-03 00:00:00,HR,Training,Central,19610,14224,Bank Transfer,TXN100206,-5386,-27.47
2023-05-28 00:00:00,Marketing,Salaries,Central,63551,113909,Card,TXN100207,50358,79.24
2021-12-04 00:00:00,Finance,Utilities,West,23869,35685,Cash,TXN100208,11816,49.50
2023-04-02 00:00:00,Operations,Infrastructure,South,98466,102045,Bank Transfer,TXN100209,3579,3.63
2023-08-15 00:00:00,Operations,Salaries,Central,32979,26476,UPI,TXN100210,-6503,-19.72
2021-06-10 00:00:00,IT,Infrastructure,West,21492,130214,UPI,TXN100211,108722,505.87
2023-03-12 00:00:00,IT,Infrastructure,North,125381,84598,Bank Transfer,TXN100212,-40783,-32.53
2022-02-02 00:00:00,Sales,Salaries,West,70920,115474,Bank Transfer,TXN100213,44554,62.82
2023-03-27 00:00:00,IT,Travel,North,122784,9484,Card,TXN100214,-113300,-92.28
2022-02-05 00:00:00,IT,Salaries,West,104257,100526,Bank Transfer,TXN100215,-3731,-3.58
2022-10-02 00:00:00,Sales,Marketing,Central,33409,27760,Cash,TXN100216,-5649,-16.91
2023-11-23 00:00:00,Marketing,Training,West,126443,14326,Cash,TXN100217,-112117,-88.67
2022-11-19 00:00:00,Sales,Infrastructure,West,70428,132802,Bank Transfer,TXN100218,62374,88.56
2022-04-05 00:00:00,IT,Training,Central,36455,78723,Cash,TXN100219,42268,115.95
2023-08-13 00:00:00,Operations,Utilities,North,141919,133477,Card,TXN100220,-8442,-5.95
2022-04-15 00:00:00,IT,Infrastructure,Central,86699,120325,Bank Transfer,TXN100221,33626,38.78
2023-11-12 00:00:00,Finance,Utilities,South,63213,137778,Cash,TXN100222,74565,117.96
2023-01-20 00:00:00,Finance,Marketing,West,125883,22963,UPI,TXN100223,-102920,-81.76
2021-02-07 00:00:00,Finance,Marketing,South,41849,145310,Card,TXN100224,103461,247.22
2021-08-18 00:00:00,Marketing,Training,Central,81868,134197,Bank Transfer,TXN100225,52329,63.92
2022-07-17 00:00:00,HR,Marketing,Central,132842,68494,Bank Transfer,TXN100226,-64348,-48.44
2022-03-14 00:00:00,Finance,Salaries,East,146720,49328,Bank Transfer,TXN100227,-97392,-66.38
2021-01-27 00:00:00,Operations,Infrastructure,South,41793,69790,UPI,TXN100228,27997,66.99
2021-08-14 00:00:00,Marketing,Utilities,East,95240,120962,Cash,TXN100229,25722,27.01
2023-03-09 00:00:00,HR,Training,South,94377,151877,Bank Transfer,TXN100230,57500,60.93
2021-10-11 00:00:00,HR,Training,East,13450,94037,Cash,TXN100231,80587,599.16
2023-05-29 00:00:00,Finance,Marketing,East,18418,166403,Card,TXN100232,147985,803.48
2023-08-18 00:00:00,IT,Marketing,South,44575,82860,UPI,TXN100233,38285,85.89
2022-03-29 00:00:00,Sales,Utilities,Central,140576,48632,UPI,TXN100234,-91944,-65.41
2023-10-17 00:00:00,IT,Infrastructure,North,107260,124167,Card,TXN100235,16907,15.76
2023-03-27 00:00:00,IT,Infrastructure,Central,124009,95268,Card,TXN100236,-28741,-23.18
2022-10-21 00:00:00,HR,Training,North,43186,152297,Bank Transfer,TXN100237,109111,252.65
2022-07-01 00:00:00,HR,Utilities,South,36451,47859,Card,TXN100238,11408,31.30
2023-12-09 00:00:00,Marketing,Training,West,13155,34496,UPI,TXN100239,21341,162.23
2021-01-17 00:00:00,Marketing,Travel,Central,39448,92392,Cash,TXN100240,52944,134.21
2021-06-07 00:00:00,HR,Infrastructure,East,136934,8958,Cash,TXN100241,-127976,-93.46
2022-04-22 00:00:00,Operations,Utilities,Central,138529,101399,Cash,TXN100242,-37130,-26.80
2023-12-06 00:00:00,Operations,Utilities,South,139244,131951,Cash,TXN100243,-7293,-5.24
2022-06-02 00:00:00,Sales,Training,West,55231,91408,Cash,TXN100244,36177,65.50
2021-04-09 00:00:00,HR,Marketing,West,45399,94687,Cash,TXN100245,49288,108.57
2023-11-27 00:00:00,Finance,Utilities,Central,82404,157389,UPI,TXN100246,74985,91.00
2021-10-07 00:00:00,Marketing,Training,Central,58698,21584,Card,TXN100247,-37114,-63.23
2022-05-12 00:00:00,HR,Salaries,Central,55379,165664,UPI,TXN100248,110285,199.15
2021-10-29 00:00:00,Operations,Marketing,South,107275,45917,Bank Transfer,TXN100249,-61358,-57.20
2021-06-30 00:00:00,HR,Marketing,North,144884,95672,Cash,TXN100250,-49212,-33.97
2022-08-30 00:00:00,Operations,Infrastructure,North,33978,64308,Card,TXN100251,30330,89.26
2022-12-01 00:00:00,HR,Travel,East,21531,97010,Card,TXN100252,75479,350.56
2023-09-20 00:00:00,Finance,Infrastructure,South,38783,28321,Cash,TXN100253,-10462,-26.98
2021-07-10 00:00:00,Sales,Salaries,West,23236,116798,Card,TXN100254,93562,402.66
2021-09-10 00:00:00,Finance,Training,East,127485,129534,Cash,TXN100255,2049,1.61
2023-09-08 00:00:00,Operations,Marketing,West,79683,119349,Bank Transfer,TXN100256,39666,49.78
2023-07-17 00:00:00,Marketing,Marketing,West,103806,105313,Cash,TXN100257,1507,1.45
2021-05-08 00:00:00,Marketing,Utilities,Central,143831,36858,Bank Transfer,TXN100258,-106973,-74.37
2021-01-18 00:00:00,IT,Travel,West,23332,49838,Card,TXN100259,26506,113.60
2022-07-20 00:00:00,Finance,Travel,West,63902,46336,UPI,TXN100260,-17566,-27.49
2022-07-24 00:00:00,HR,Utilities,South,19198,72597,Card,TXN100261,53399,278.15
2022-11-17 00:00:00,Sales,Salaries,Central,113307,143840,UPI,TXN100262,30533,26.95
2022-09-18 00:00:00,HR,Travel,Central,116209,119467,Cash,TXN100263,3258,2.80
2023-05-04 00:00:00,HR,Marketing,East,96023,126901,Card,TXN100264,30878,32.16
2023-08-20 00:00:00,Finance,Salaries,Central,142853,13177,Card,TXN100265,-129676,-90.78
2021-06-04 00:00:00,Sales,Infrastructure,North,88948,81582,Bank Transfer,TXN100266,-7366,-8.28
2022-05-05 00:00:00,IT,Infrastructure,South,60141,145673,Cash,TXN100267,85532,142.22
2023-02-24 00:00:00,HR,Salaries,East,119660,82433,UPI,TXN100268,-37227,-31.11
2021-09-03 00:00:00,Sales,Marketing,North,41485,158145,Cash,TXN100269,116660,281.21
2023-11-29 00:00:00,IT,Infrastructure,West,64351,64261,Bank Transfer,TXN100270,-90,-0.14
2023-01-29 00:00:00,HR,Training,North,36654,12581,Bank Transfer,TXN100271,-24073,-65.68
2022-06-22 00:00:00,Sales,Marketing,East,61529,129975,Bank Transfer,TXN100272,68446,111.24
2023-07-10 00:00:00,Finance,Utilities,Central,114349,47802,Cash,TXN100273,-66547,-58.20
2022-02-12 00:00:00,Marketing,Travel,South,26665,132457,Bank Transfer,TXN100274,105792,396.74
2022-06-09 00:00:00,Marketing,Salaries,East,72475,37698,Cash,TXN100275,-34777,-47.98
2023-04-08 00:00:00,HR,Travel,North,57802,59119,Bank Transfer,TXN100276,1317,2.28
2023-06-22 00:00:00,HR,Utilities,North,87892,68393,Card,TXN100277,-19499,-22.19
2021-02-05 00:00:00,Sales,Infrastructure,East,46362,13080,UPI,TXN100278,-33282,-71.79
2022-11-16 00:00:00,Marketing,Training,East,49338,72652,Cash,TXN100279,23314,47.25
2021-01-20 00:00:00,HR,Marketing,East,103004,76664,UPI,TXN100280,-26340,-25.57
2021-11-17 00:00:00,IT,Marketing,Central,106464,128023,Cash,TXN100281,21559,20.25
2022-05-27 00:00:00,HR,Utilities,East,12120,70577,Cash,TXN100282,58457,482.32
2022-02-04 00:00:00,Marketing,Salaries,West,120289,161278,Card,TXN100283,40989,34.08
2022-10-16 00:00:00,Operations,Travel,South,10785,169522,Card,TXN100284,158737,1471.83
2023-08-30 00:00:00,Marketing,Training,South,66925,86117,Cash,TXN100285,19192,28.68
